Spell Name,Level,School,Ritual,Casting Time,Range,Target/Area,V,S,M,Component(s),Cost,Concentration,Duration,Attack/Saving Throw (Effect),Damage Type,Damage/Heal,Sourcebook,Page #,Additional Detail,Per Higher Spell Level,Bard,Cleric,Druid,Paladin,Ranger,Sorceror,Warlock,Wizard
Mirage Arcane,7,Illusion,,10 minutes,Sight,1 square mile,V,S,,,,,10 days,,,,PHB,260,"Create audo,visual,tactile, and olfactory illusion. Only Truesight can detect.",,Bard,,Druid,,,,,Wizard
Mirror Image,2,Illusion,,1 action,Self,Self,V,S,,,,,1 minute,,,,PHB,260,Create duplicates that make you harder to hit.  See Sourcebook.,,,Cleric(Trickery),Druid(Coast),,,Sorceror,Warlock,Wizard
Mislead,5,Illusion,,1 action,Self,Self,,S,,,,Concentration,1 hour,,,,PHB,260,Become invisible and create illusory double. Use action to move your double.,,Bard,,,,,,,Wizard
Misty Step,2,Conjuration,,1 bonus action,Self,Self,V,,,,,,Instantaneous,,,,PHB,260,Teleport <= 30 ft. away to unoccupied location.,,,,Druid(Coast),"Paladin(Ancients,Vengeance)",,Sorceror,Warlock,Wizard
Modify Memory,5,Enchantment,,1 action,30 ft.,,V,S,,,,Concentration,1 minute,WIS (Fail),,,PHB,261,Reshape another creature's memories.  See Sourcebook.,See Sourcebook.,Bard,Cleric(Trickery),,,,,,Wizard
Moonbeam,2,Evocation,,1 action,120 ft.,5 ft. rad. 40 ft. high cylinder,V,S,M,"moonseed seeds, feldspar",,Concentration,1 minute,CON (Half DAM),Radiant,DAM: 2d10,PHB,261,DAM taken entering/start turn in beam. Shapechanges disadvantage to save.,Extra 1d10 DAM.,,,Druid,Paladin(Ancients),,,,
Mordenkainen's Faithful Hound,4,Conjuration,,1 action,30 ft.,,V,S,M,"silver whistle, bone, thread",,,8 hours,,Piercing,DAM: 4d8,PHB,261,Spectral hound guards area and can attack hostiles.  See Sourcebook.,,,,,,,,,Wizard
Mordenkainen's Magnificent Mansion,7,Conjuration,,1 minute,300 ft.,,V,S,M,"portal(5),marble(5),spoon(5)",15 gp,,24 hours,,,,PHB,261,Summon portal to 50000 cubic ft. mansion with food for 100 people.,,Bard,,,,,,,Wizard
Mordenkainen's Private Sanctum,4,Abjuration,,10 minutes,120 ft.,<= 100 ft. cube,V,S,M,"lead,glass,cloth,chrysolite",,,24 hours,,,,PHB,262,Create magically secure area.  See Sourcebook.,Extra 100 ft. per cube side,,,,,,,,Wizard
Mordenkainen's Sword,7,Evocation,,1 action,60 ft.,,V,S,M,mini platinum sword,250 gp,Concentration,1 minute,Melee Spell Attack,Force,DAM: 3d10,PHB,262,Use bonus action each turn to move sword <= 20 ft. and attack again.,,Bard,,,,,,,Wizard
Move Earth,6,Transmutation,,1 action,120 ft.,40 ft. square of terrain,V,S,M,"iron blade, bag of soil",,Concentration,2 hours,,,,PHB,263,"Reshape dirt, sand, or clay. Can move to different square after 10 minutes.",,,,Druid,,,Sorceror,,Wizard
Nondetection,3,Abjuration,,1 action,Touch,"1 object, place, or willing target",V,S,M,DIAMOND DUST,25 gp,,8 hours,,,,PHB,263,Hide target from all divination and scrying magic.,,Bard,Cleric(Knowledge),,,Ranger,,,Wizard
Nystul's Magic Aura,2,Illusion,,1 action,Touch,1 creature or object,V,S,M,small square of silk,,,24 hours,,,,PHB,263,Divination spells reveal false info about target.  See Sourcebook.,,,,,,,,,Wizard
Otiluke's Freezing Sphere,6,Evocation,,1 action,300 ft.,60 ft. radius sphere,V,S,M,small crystal sphere,,,Instantaneous,CON (Half DAM),Cold,DAM: 10d6,PHB,263,Water freezes. Can give globe to another who fires it and spell takes effect then.,Extra 1d6 DAM.,,,,,,,,Wizard
Otiluke's Resilient Sphere,4,Evocation,,1 action,30 ft.,1 creature or object,V,S,M,"hemispheres of crystal,arabic",,Concentration,1 minute,DEX (Fail),,,PHB,264,Trap creature in sphere.  Sphere only destroyed by Disintegrate spell.,,,,,,,,,Wizard
Otto's Irresistable Dance,6,Enchantment,,1 action,30 ft.,1 creature,V,,,,,Concentration,1 minute,,,,PHB,264,No movement.Disadvantage on DEX saves and attacks.Use action to WIS save.,,Bard,,,,,,,Wizard
Pass without Trace,2,Abjuration,,1 action,Self,Willing creatures in range,V,S,M,mistletoe or spruce ash,,Concentration,1 hour,,,,PHB,264,Targets get +10 to Stealth checks and can only be tracked by magic.,,,Cleric(Trickery),Druid,,Ranger,,,
Passwall,5,Transmutation,,1 action,30 ft.,,V,S,M,pinch of sesame seeds,,,1 hour,,,,PHB,264,"Create 5ft wide, 8ft tall,20ft deep opening in wall, ceiling, or floor. ",,,,Druid(Mountain),,,,,Wizard
Phantasmal Force,2,Illusion,,1 action,60 ft.,1 creature,V,S,M,bit of fleece,,Concentration,1 minute,INT (Fail),,,PHB,264,Affect target with illusion. Can DAM for 1d6 Psychic. See Sourcebook.,,Bard,,,,,Sorceror,,Wizard
Phantasmal Killer,4,Illusion,,1 action,120 ft.,1 creature,V,S,,,,Concentration,1 minute,WIS (Fail),Psychic,DAM: 4d10,PHB,265,Target is frightened and takes DAM at start of turn if it doesn't save.,Extra 1d10 DAM.,,,,,,,,Wizard
Phantom Steed,3,Illusion,Ritual,1 minute,30 ft.,,V,S,,,,,1 hour,,,,PHB,265,You and 1 other can ride phantom steed. Speed=100ft or 10mph (13 fast).,,,,,,,,,Wizard
Planar Ally,6,Conjuration,,10 minutes,60 ft.,,V,S,,,,,Instantaneous,,,,PHB,265,Ask otherworldly entity for aid.  See Sourcebook.,,,Cleric,,,,,,
Planar Binding,5,Abjuration,,1 hour,60 ft.,1 extraplanar creature,V,S,M,JEWEL,1000 gp,,24 hours,CHA (Fail),,,PHB,265,"Bind celestial, elemental, fey, or fiend to serve you for spell duration.",See Sourcebook.,Bard,Cleric,Druid,,,,,Wizard
Plane Shift,7,Conjuration,,1 action,Touch,1 unwilling or Self + 8 willing,V,S,M,forked metal rod,250 gp,,Instantaneous,Melee Spell Attack + CHA (Fail),,,PHB,266,Transport to another plane. You specify general location or teleportation circle.,,,Cleric,Druid,,,Sorceror,Warlock,Wizard
Plant Growth,3,Transmutation,,1 action or 8 hours,150 ft.,100 ft. or 1 mile radius,V,S,,,,,Instantaneous,,,,PHB,266,Cast short term (creatures move 1/4 speed) or long term (double food yield).,,Bard,Cleric(Nature),Druid,Paladin(Ancients),Ranger,,,
Poison Spray,0,Conjuration,,1 action,10 ft.,1 creature,V,S,,,,,Instantaneous,CON (Fail),Poison,DAM: 1d12,PHB,266,"DAM increase. 5th level: 2d12, 11th level: 3d12, 17th level: 4d12.",,,Cleric(Nature),Druid,,,Sorceror,Warlock,Wizard
Polymorph,4,Transmutation,,1 action,60 ft.,1 creature,V,S,M,caterpillar cocoon,,Concentration,1 hour,WIS (Fail),,,PHB,266,Transform creature's form. All stats change. Limited to actions of new form.,,Bard,Cleric(Trickery),Druid,,,Sorceror,,Wizard
Power Word Heal,9,Evocation,,1 action,Touch,1 creature,V,S,,,,,Instantaneous,,,HEAL: All HP,PHB,266,"Target also cured of charm, fright, paralyze, or stun. Use reaction to stand up.",,Bard,,,,,,,
Power Word Kill,9,Enchantment,,1 action,60 ft.,1 creature,V,,,,,,Instantaneous,,,See Details.,PHB,266,"If target has <= 100 HP, it dies instantly. No effect otherwise. No saving throw.",,Bard,,,,,Sorceror,Warlock,Wizard
Power Word Stun,8,Enchantment,,1 action,60 ft.,1 creature,V,,,,,,Instantaneous,See Details.,,,PHB,267,Target <= 150 HP is stunned. Nothing otherwise. CON save at end of turn to end.,,Bard,,,,,Sorceror,Warlock,Wizard
Prayer of Healing,2,Evocation,,10 minutes,30 ft.,<= 6 creatures you choose,V,,,,,,Instantaneous,,,See Details.,PHB,267,Targets HEAL 2d8 + casting ability modifier HP. No effect on undead/constructs.,HEAL extra 1d8.,,Cleric,,,,,,
Prestidigitation,0,Transmutation,,1 action,10 ft.,,V,S,,,,,1 hour,,,,PHB,267,Create minor magical effect.  See Sourcebook.,,Bard,,,,,Sorceror,Warlock,Wizard
Prismatic Spray,7,Evocation,,1 action,Self,60 ft. cone,V,S,,,,,Instantaneous,See Sourcebook.,See Sourcebook.,See Sourcebook.,PHB,267,Send a rainbow of negative effects at enemies.  See Sourcebook.,,,,,,,Sorceror,,Wizard
Prismatic Wall,9,Abjuration,,1 action,60 ft.,90x30 ft wall or 30ft dia. sphere,V,S,,,,,Instantaneous,See Sourcebook.,See Sourcebook.,See Sourcebook.,PHB,267,Create multicolored barrier with various effects.  See Sourcebook.,,,,,,,,,Wizard
Produce Flame,0,Conjuration,,1 action,Self,,V,S,,,,,10 minutes,Ranged Spell Attack,Fire,DAM: 1d8,PHB,269,"Create flame. DAM increase. 5th level: 2d8, 11th level: 3d8, 17th level: 4d8.",,,Cleric(Nature),Druid,,,,,
Programmed Illusion,6,Illusion,,1 action,120 ft.,30 ft. cube,V,S,M,"fleece, jade dust",25 gp,,Until Dispelled,,,,PHB,269,Create illusion that performs specific action triggered by specific action.,,Bard,,,,,,,Wizard
Project Image,7,Illusion,,1 action,500 miles,,V,S,M,small replica of self,5 gp,Concentration,1 day,,,,PHB,270,Create image of self you can see/hear/speak/move (x2 speed) through. ,,Bard,,,,,,,Wizard
Protection from Energy,3,Abjuration,,1 action,Touch,1 creature,V,S,,,,Concentration,1 hour,,,,PHB,270,"Creature gains resistance to one of: acid, cold, fire, lightning, or thunder.",,,Cleric,Druid,"Paladin(Ancients,Vengeance)",Ranger,Sorceror,,Wizard
Protection from Evil and Good,1,Abjuration,,1 action,Touch,1 willing creature,V,S,M,holy water or powdered silver,,Concentration,10 minutes,,,,PHB,270,Protect against certain types of creatures.  See Sourcebook.,,,Cleric,,Paladin,,,Warlock,Wizard
Protection from Poison,2,Abjuration,,1 action,Touch,1 willing creature,V,S,,,,,1 hour,,,,PHB,270,"Target has 1 poison neutralized, advantage on poison save, resists poison DAM.",,,Cleric,Druid,Paladin,Ranger,,,
Purify Food and Drink,1,Transmutation,Ritual,1 action,10 ft.,5 ft. radius,V,S,,,,,Instantaneous,,,,PHB,270,All nonmagical food and drink in range is rendered free of poison and disease.,,,Cleric,Druid,Paladin,,,,
Raise Dead,5,Necromancy,,1 hour,Touch,1 dead creature,V,S,M,DIAMOND,500 gp,,Instantaneous,,,,PHB,270,Return target to life with 1 HP.  See Sourcebook.,,Bard,Cleric,,Paladin,,,,
Rary's Telepathic Bond,5,Divination,Ritual,1 action,30 ft.,<= 8 willing creatures,V,S,M,eggshell of 2 different creatures,,,1 hour,,,,PHB,270,"Targets can communicate telepathically with each other, but not to other planes.",,,,,,,,,Wizard
Ray of Enfeeblement,2,Necromancy,,1 action,60 ft.,1 creature in range,V,S,,,,Concentration,1 minute,Ranged Spell Attack,,,PHB,271,Target deals 1/2 DMG with STR weapon attacks. CON save to end at turn's end.,,,Cleric(Death),,,,,Warlock,Wizard
Ray of Frost,0,Evocation,,1 action,60 ft.,1 creature in range,V,S,,,,,Instantaneous,Ranged Spell Attack,Cold,DAM: 1d8,PHB,271,"Speed -10ft. DAM increase. 5th level: 2d8, 11th level: 3d8, 17th level: 4d8.",,,,,,,Sorceror,,Wizard
Ray of Sickness,1,Necromancy,,1 action,60 ft.,1 creature in range,V,S,,,,,Instantaneous,Ranged Spell Attack,Poison,DAM: 2k8,PHB,271,"Target also makes CON save. On fail, poisoned until end of next turn.",Extra 1d8 DAM.,,Cleric(Death),,,,Sorceror,,Wizard
Regenerate,7,Transmutation,,1 minute,Touch,1 creature,V,S,M,prayer wheel and holy water,,,1 hour,,,HEAL: 4d8+15,PHB,271,Target HEAL 1 HP at start of every turn. Severed parts return after 2 minutes.,,Bard,Cleric,Druid,,,,,
Reincarnate,5,Transmutation,,1 hour,Touch,1 dead humanoid,V,S,M,RARE OILS AND UNGUENTS,1000 gp,,Instantaneous,,,,PHB,271,Resurrect dead humanoid into a random humanoid body.  See Sourcebook.,,,,Druid,,,,,
Remove Curse,3,Abjuration,,1 action,Touch,1 creature or object,V,S,,,,,Instantaneous,,,,PHB,271,Remove curse creature or break object's curse attunement to any target.,,,Cleric,,Paladin,,,Warlock,Wizard
Resistance,0,Abjuration,,1 action,Touch,1 willing creature,V,S,M,miniature cloak,,Concentration,1 minute,,,,PHB,272,"Once before spell ends, add 1d4 to a saving throw. Roll before or after save.",,,Cleric,Druid,,,,,
Resurrection,7,Necromancy,,1 hour,Touch,1 dead creature,V,S,M,DIAMOND,1000 gp,,Instantaneous,,,,PHB,272,Resurrect dead creaature. See Sourcebook.,,Bard,Cleric,,,,,,
Reverse Gravity,7,Transmutation,,1 action,100 ft.,50 ft. radius,V,S,M,lodestone and iron filings,,Concentration,1 minute,DEX (grab fixed object),,,PHB,272,"Creatures fall upwards, taking falling damage. Fall again once spell ends.",,,,Druid,,,Sorceror,,Wizard
Revivify,3,Conjuration,,1 action,Touch,1 creature,V,S,M,DIAMOND,300 gp,,Instantaneous,,,,PHB,272,Raise creature that died within 1 minute to 1 HP. Doesn't restore missing parts.,,,Cleric,,Paladin,,,,
Rope Trick,2,Transmutation,,1 action,Touch,60 ft. rope,V,S,M,"powdered corn, parchment loop",,,1 hour,,,,PHB,272,Climb rope to other space that can hide 8 Medium creatures. Can see outside.,,,,,,,,,Wizard
Sacred Flame,0,Evocation,,1 action,60 ft.,1 creature,V,S,,,,,Instantaneous,DEX (Fail),Fire,DAM: 1d8,PHB,272,"No cover. DAM increase. 5th level: 2d8, 11th level: 3d8, 17th level: 4d8.",,,Cleric,,,,,,
Sanctuary,1,Abjuration,,1 bonus action,30 ft.,1 creature,V,S,M,small silver mirror,,,1 minute,,,,PHB,272,Those choosing to attack target must make WIS save or choose new target.,,,Cleric,,Paladin(Devotion),,,,
Scorching Ray,2,Evocation,,1 action,120 ft.,<= 3 creatures,V,S,,,,,Instantaneous,Ranged Spell Attack,Fire,DAM: 2d6x3,PHB,273,Shoot 3 rays at up to 3 targets.,One additional ray.,,Cleric(Light),,,,Sorceror,,Wizard
Scrying,5,Divination,,10 minutes,Self,1 creature,V,S,M,scrying focus,1000 gp,Concentration,10 minutes,WIS (Fail),,,PHB,273,Spy on a target located on the same plane as you.  See Sourcebook.,,Bard,Cleric,Druid,Paladin(Vengeance),,,Warlock,Wizard
Searing Smite,1,Evocation,,1 bonus action,Self,1 creature,V,,,,,Concentration,1 minute,Melee Weapon Attack,Fire,DAM: 1d6,PHB,274,Target takes initial DAM and CON save at start of each turn or take 1d6 fire.,Extra 1d6 initial DAM.,,,,Paladin,,,,
See Invisibility,2,Divination,,1 action,Self,Self,V,S,M,pinch of talc and silver powder,,,1 hour,,,,PHB,274,See invisible and ethereal creatures.,,Bard,,,,,Sorceror,,Wizard
Seeming,5,Illusion,,1 action,30 ft.,Any creatures in range,V,S,,,,,8 hours,CHA (Fail),,,PHB,274,"Disguise willing or unwillig creatures as other similar creatures, including outfits.",,Bard,,,,,Sorceror,,Wizard
Sending,3,Evocation,,1 action,Unlimited,1 creature,V,S,M,short piece of fine copper wire,,,1 round,,,,PHB,274,Send <= 25 word message to known creature. Get similar reply.,,Bard,Cleric,,,,,,Wizard
Sequester,7,Transmutation,,1 action,Touch,1 willing creature or object,V,S,M,GEM POWDER,5000 gp,,Until Dispelled,,,,PHB,274,"Hide target from detection, falls into suspended animation. Condition can end it.",,,,,,,,,Wizard
Shapechange,9,Transmutation,,1 action,Self,Self,V,S,M,jade circlet,1500 gp,Concentration,1 hour,,,,PHB,274,Assume the form of a different creature.  See Sourcebook.,,,,Druid,,,,,Wizard
Shatter,2,Evocation,,1 action,60 ft.,10 ft. sphere,V,S,M,chip of mica,,,Instantaneous,CON (Half DAM),Thunder,DAM: 3d8,PHB,275,Inorganic creatures have disadvantage to save. Objects take DAM too.,Extra 1d8 DAM.,Bard,Cleric(Tempest),,,,Sorceror,Warlock,Wizard
Shield,1,Abjuration,,1 reaction (on hit by attack/magic missile),Self,Self,V,S,,,,,1 round,,,,PHB,275,"Gain +5 bonus to AC, including triggering attack. Negates Magic Missile attacks.",,,,,,,Sorceror,,Wizard
Shield of Faith,1,Abjuration,,1 bonus action,60 ft.,1 creature,V,S,M,small parchment with holy text,,Concentration,10 minutes,,,,PHB,275,Target gains +2 bonus to AC.,,,Cleric,,Paladin,,,,
Shillelagh,0,Transmutation,,1 bonus action,Touch,1 club or quarterstaff,V,S,M,"mistletoe, shamrock, weapon",,,1 minute,,,,PHB,275,"Use casting ability instead of STR for attack,damage. Weapon does 1d8 DMG.",,,Cleric(Nature),Druid,,,,,
Shocking Grasp,0,Evocation,,1 action,Touch,1 creature,V,S,,,,,Instantaneous,Melee Spell Attack,Lightning,DAM: 1d8,PHB,275,Target can't take reactions until next turn. Advantage if target has metal armor.,,,,,,,Sorceror,,Wizard
Silence,2,Illusion,Ritual,1 action,120 ft.,20 ft. radius sphere,V,S,,,,Concentration,10 minutes,,,,PHB,275,"Creatures in area are deafened, immune to thunder DMG, can't cast verbally.",,Bard,Cleric,Druid(Desert),,Ranger,,,
Silent Image,1,Illusion,,1 action,60 ft.,15 ft. cube,V,S,M,bit of fleece,,Concentration,10 minutes,,,,PHB,276,Create visual-only illusion. Use action to make it move. Investigation to discover.,,Bard,,,,,Sorceror,,Wizard
Simulacrum,7,Illusion,,12 hours,Touch,,V,S,M,See Sourcebook.,1500 gp,,Until Dispelled,,,,PHB,276,Create duplicate of beast or humanoid that obeys your commands.,,,,,,,,,Wizard
Sleep,1,Enchantment,,1 action,90 ft.,20 ft. radius,V,S,M,pinch of fine sand,,,1 minute,,,,PHB,276,5d8 total HP of creatures in area fall asleep. Go in order of lowest HP to hightest.,Addition 2d8 HP fall asleep.,Bard,,,,,Sorceror,,Wizard
Sleet Storm,3,Conjuration,,1 action,150 ft.,40 ft. rad. 20 ft. tall cylinder,V,S,M,"pinch of dust, drops of water",,Concentration,1 minute,DEX (Fail),,,PHB,276,"Difficult terrain.Each turn,DEX save or fall prone,CON save or lose concentration.",,,Cleric(Tempest),Druid,,,Sorceror,,Wizard
Slow,3,Transmutation,,1 action,120 ft.,<= 6 creatures in 40 ft. cube,V,S,M,drop of molasses,,Concentration,1 minute,WIS (Fail),,,PHB,277,Affected creatures become slowed.  See Sourcebook.,,,,Druid(Arctic),,,Sorceror,,Wizard
Spare the Dying,0,Necromancy,,1 action,Touch,1 living creature at 0 HP,V,S,,,,,Instantaneous,,,,PHB,277,Stabilize dying creature.  No effect on undead or constructs.,,,Cleric,,,,,,
Speak with Animals,1,Divination,Ritual,1 action,Self,Self,V,S,,,,,10 minutes,,,,PHB,277,Understand and speak to beasts. Get info about nearby locations and monsters.,,Bard,Cleric(Nature),Druid,Paladin(Ancients),Ranger,,,
Speak with Dead,3,Necromancy,,1 action,10 ft.,1 dead creature,V,S,M,burning incense,,,10 minutes,,,,PHB,277,"Ask corpse <= 5 questions. Get brief, cryptic answers. Can be lies.",,Bard,Cleric,,,,,,
Speak with Plants,3,Transmutation,,1 action,Self,30 ft. radius,V,S,,,,,10 minutes,,,,PHB,277,Animate plants to communicate with and perform tasks.  See Sourcebook.,,Bard,,Druid,,Ranger,,,
Spider Climb,2,Transmutation,,1 action,Touch,1 willing creature,V,S,M,spider and drop of bitumen,,Concentration,1 hour,,,,PHB,277,Target can walk on walls or ceiling. Climbing speed becomes walking speed.,,,,"Druid(Forest,Mountain,Underdark)",,,Sorceror,Warlock,Wizard
Spike Growth,2,Transmutation,,1 action,150 ft.,20 ft. radius,V,S,M,7 sharp thorns or twigs,,Concentration,10 minutes,,,,PHB,277,Difficult terrain.  Moving into or within area takes 2d4 piercing DAM per 5 ft.,,,Cleric(Nature),Druid,,Ranger,,,
Spirit Guardian,3,Conjuration,,1 action,Self,15 ft. radius,V,S,M,holy symbol,,Concentration,10 minutes,WIS (Half DAM),Radiant or Necrotic,DAM: 3d8,PHB,278,"Enemy creature speed halved. DMG on enter area: necrotic if evil, radiant if not.",Extra 1d8 DAM.,,Cleric,,,,,,
Spiritual Weapon,2,Evocation,,1 bonus action,60 ft.,,V,S,,,,,1 minute,Melee Spell Attack,Force,See Details,PHB,278,Magical weapon does 1d8 + casting ability DMG. Can move 20 ft. per turn.,Extra 1d8 DAM.,,Cleric,,,,,,
Staggering Smite,4,Evocation,,1 bonus action,Self,Self,V,,,,,Concentration,1 minute,Melee Weapon Attack,Psychic,DAM: 4d6,PHB,278,WIS save or disadvantage on attack & ability checks; can't take reactions.,,,,,Paladin,,,,
Stinking Cloud,3,Conjuration,,1 action,90 ft.,20 ft. radius sphere,V,S,M,rotten egg or skunk cabbage,,Concentration,1 minute,CON (Fail),,,PHB,278,Creatures that need to breathe spend turn retching. Wind disperses cloud.,,Bard,,"Druid(Swamp,Underdark)",,,Sorceror,,Wizard
Stone Shape,4,Transmutation,,1 action,Touch,5 ft. cube,V,S,M,soft clay in desired shape,,,Instantaneous,,,,PHB,278,Reshape stone into any rough shape you wish.,,,Cleric,Druid,,,,,Wizard
Stoneskin,4,Abjuration,,1 action,Touch,1 willing creature,V,S,M,DIAMOND DUST,100 gp,Concentration,1 hour,,,,PHB,278,"Target gains resistance to nonmagical bludgeoning, piercing, and slashing DMG.",,,Cleric(War),Druid,Paladin(Ancients),Ranger,Sorceror,,Wizard
Storm of Vengeance,9,Conjuration,,1 action,Sight,360 ft. radius,V,S,,,,Concentration,1 minute,See Sourcebook.,See Sourcebook.,See Sourcebook.,PHB,279,Magical storm attacks targets in range.  See Sourcebook.,,,,Druid,,,,,
Suggestion,2,Enchantment,,1 action,30 ft.,1 creature,V,,M,"snake's tongue, honeycomb ",,Concentration,8 hours,WIS (Fail),,,PHB,279,Target follows reasonable course of action you suggest. Can specify conditions.,,Bard,Cleric(Knowledge),,,,Sorceror,Warlock,Wizard
Sunbeam,6,Evocation,,1 action,Self,60 ft. line,V,S,M,magnifying glass,,Concentration,1 minute,"CON (Half DAM, no blindness)",Radiant,DAM: 6d8,PHB,279,Creatures are blinded until your next turn. Use your action to make a new line.,,,,Druid,,,Sorceror,,Wizard
Sunburst,8,Evocation,,1 action,150 ft.,60 ft. radius sphere,V,S,M,fire and piece of sunstone,,,Instantaneous,"CON (Half DAM, no blindness)",Radiant,DAM: 12d6,PHB,279,Creatures are blinded for 1 minute (CON save at end of turn to end).,,,,Druid,,,Sorceror,,Wizard
Swift Quiver,5,Transmutation,,1 bonus action,Touch,Spell component,V,S,M,quiver with at least 1 ammo,,Concentration,1 minute,,,,PHB,279,Quiver produces endless ammo.Use bonus action for 2 attacks using ammo.,,,,,,Ranger,,,
Symbol,7,Abjuration,,1 minute,Touch,1 surface or object,V,S,M,"Hg, P, DIAMOND and OPAL",1000 gp,,Dispel/Triggered,See Sourcebook.,See Sourcebook.,See Sourcebook.,PHB,280,Inscribe harmful magical glyph on surface.  See Sourcebook.,,Bard,Cleric,,,,,,Wizard
Tasha's Hideous Laughter,1,Enchantment,,1 action,30 ft.,1 creature,V,S,M,tiny tarts and a feather,,Concentration,1 minute,WIS (Fail),,,PHB,280,"Target (INT > 4) is prone, incapacitated, can't stand. WIS save each turn to end.",,Bard,,,,,,,Wizard
Telekinesis,5,Transmutation,,1 action,60 ft.,Creatures or objects in range,V,S,,,,Concentration,10 minutes,,,,PHB,280,Move objects or creatures with your mind.  See Sourcebook.,,,,,,,Sorceror,,Wizard
Telepathy,8,Evocation,,1 action,Unlimited,1 willing creature,V,S,M,pair of linked silver rings,,,24 hours,,,,PHB,281,"Telepathically communicate words, sounds, images with target (INT >= 1).",,,,,,,,,Wizard
Teleport,7,Conjuration,,1 action,10 ft.,Self and <= 8 creatures,V,,,,,,Instantaneous,,,,PHB,281,Teleport yourself and willing creatures to a distant location.  See Sourcebook.,,Bard,,,,,Sorceror,,Wizard
Teleportation Circle,5,Conjuration,,1 minute,10 ft.,10 ft. diameter circle,V,,M,CHALK & INK mixed with gems,50 gp,,1 round,,,,PHB,282,Any stepping inside circle teleport to permanent teleportation circle.,,Bard,,,,,Sorceror,,Wizard
Tenser's Floating Disk,1,Conjuration,Ritual,1 action,30 ft.,3 ft. diameter circle,V,S,M,drop of mercury,,,1 hour,,,,PHB,282,Create floating disk that holds 500 lbs and stays within 20 ft. of you.,,,,,,,,,Wizard
Thaumaturgy,0,Transmutation,,1 action,30 ft.,,V,,,,,,Up to 1 minute,,,,PHB,282,Create minor magical effect.  See Sourcebook.,,,Cleric,,,,,,
Thorn Whip,0,Transmutation,,1 action,30 ft.,,V,S,M,stem of thorny plant,,,Instantaneous,Melee Spell Attack,Piercing,DAM: 1d6,PHB,282,"Pulled 10 ft to root. DAM increase. 5th level: 2d6, 11th level: 3d6, 17th level: 4d6.",,,Cleric(Nature),Druid,,,,,
Thunderous Smite,1,Evocation,,1 bonus action,Self,1 creature,V,,,,,Concentration,1 minute,Melee Weapon Attack,Thunder,DAM: 2d6,PHB,282,Attack target takes extra thunder DAM and STR save or pushed 10 ft. and prone.,,,,,Paladin,,,,
Thunderwave,1,Evocation,,1 action,Self,15 ft. cube,V,S,,,,,Instantaneous,"CON (Half DAM, no push)",Thunder,DAM: 2d8,PHB,282,Creatures failing save and objects pushed 10 ft. Boom heard for 300 ft.,Extra 1d8 DAM.,Bard,Cleric(Tempest),Druid,,,Sorceror,,Wizard
Time Stop,9,Transmutation,,1 action,Self,,V,,,,,,Instantaneous,,,,PHB,283,Stop time. Take 1d4+1 turns alone. Spell ends if you affect others in any way.,,,,,,,Sorceror,,Wizard
Tongues,3,Divination,,1 action,Touch,1 creature,V,,M,clay model of a ziggurat,,,1 hour,,,,PHB,283,Target understands any spoken language and is understood by everyone else.,,Bard,Cleric,,,,Sorceror,Warlock,Wizard
Transport via Plants,6,Conjuration,,1 action,10 ft.,"2 >= Large plants, 1 in range",V,S,,,,,1 round,,,,PHB,283,Enter one plant and emerge from another on same plane you've encountered.,,,,Druid,,,,,
Tree Stride,5,Conjuration,,1 action,Self,Self,V,S,,,,Concentration,1 minute,,,,PHB,283,Enter one tree and emerge from another 500 ft. away. Use once per round.,,,Cleric(Nature),Druid,Paladin(Ancients),Ranger,,,
True Polymorph,9,Transmutation,,1 action,30 ft.,1 creature or nonmagical object,V,S,M,"mercury, gum arabic, smoke",,Concentration,1 hour,,,,PHB,283,Transform a creature/object into a different creature/object.  See Sourcebook.,,Bard,,,,,,Warlock,Wizard
True Resurrection,9,Necromancy,,1 hour,Touch,1 creature dead <= 200 years,V,S,M,"holy water, DIAMONDS",25000 gp,,Instantaneous,,,,PHB,284,"Resurrect creature that didn't die of old age. Heals all wounds, effects, etc.",,,Cleric,Druid,,,,,
True Seeing,6,Divination,,1 action,Touch,1 willing creature,V,S,M,OINTMENT FOR EYES,25 gp,,1 hour,,,,PHB,284,"Target creature gains truesight, sees secret doors, Ethereal Plane. Range 120 ft.",,Bard,Cleric,,,,Sorceror,Warlock,Wizard
True Strike,0,Divination,,1 action,30 ft.,1 creature,,S,,,,Concentration,1 round,,,,PHB,284,Next turn you gain advantage on first attack against the target.,,Bard,,,,,Sorceror,Warlock,Wizard
Tsunami,8,Conjuration,,1 minute,Sight,300 ft x 300 ft x 50 ft water,V,S,,,,Concentration,6 rounds,STR (Half DAM),Bludgeoning,DAM: 6d10,PHB,284,Creatures make STR save to avoid more damage (1d10 less DMG each round).,,,,Druid,,,,,
Unseen Servant,1,Conjuration,Ritual,1 action,60 ft.,,V,S,M,"piece of string, bit of wood",,,1 hour,,,,PHB,284,"Create invisible force that can perform simple, menial tasks for you.",,Bard,,,,,,Warlock,Wizard
Vampiric Touch,3,Necromancy,,1 action,Self,Self,V,S,,,,Concentration,1 minute,Melee Spell Attack,Necrotic,DAM: 3d6,PHB,285,"Each time you hit a target, you also HEAL half of the DAM you cause.",Extra 1d6 DAM.,,Cleric(Death),,,,,Warlock,Wizard
